method_id,input_tier,rollout_id,root_family_id,case_id,expected_action,selected_action,outcome,hold_entry_route,first_hold_time,hold_established_before_event,false_recovery,lift_confirmed,unknown_rows,rows
S_G_HR,S,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,recover_object,none,none,LOW_HEIGHT_CO_MOTION,0.5,True,False,False,0,28
O_B2,O,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,recover_object,none,none,,1.0,False,False,,0,25
O_C3,O,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,recover_object,none,none,,0.5,True,False,,0,25
S_G_H,S,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,recover_object,none,none,HEIGHT_THRESHOLD,0.5,True,False,True,0,25
S_G_R,S,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,recover_object,none,none,RELATIVE_CO_MOTION,0.5,True,False,False,0,25
S_G_HR,S,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,recover_object,none,none,LOW_HEIGHT_CO_MOTION,0.5,True,False,False,0,25
O_B2,O,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,recover_object,none,none,,0.85,False,False,,0,43
O_C3,O,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,recover_object,none,none,,0.5,True,False,,0,43
S_G_H,S,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,recover_object,none,none,HEIGHT_THRESHOLD,0.5,True,False,True,0,43
S_G_R,S,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,recover_object,none,none,RELATIVE_CO_MOTION,0.5,True,False,False,0,43
S_G_HR,S,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,recover_object,none,none,LOW_HEIGHT_CO_MOTION,0.5,True,False,False,0,43
O_B2,O,L2RAR2_REPAIR_03_840003:K7_commanded_release,L2RAR2_REPAIR_03_840003,K7_commanded_release,none,none,none,,,False,False,,0,26
O_C3,O,L2RAR2_REPAIR_03_840003:K7_commanded_release,L2RAR2_REPAIR_03_840003,K7_commanded_release,none,none,none,,0.5,True,False,,0,26
S_G_H,S,L2RAR2_REPAIR_03_840003:K7_commanded_release,L2RAR2_REPAIR_03_840003,K7_commanded_release,none,none,none,HEIGHT_THRESHOLD,0.5,True,False,True,0,26
S_G_R,S,L2RAR2_REPAIR_03_840003:K7_commanded_release,L2RAR2_REPAIR_03_840003,K7_commanded_release,none,none,none,RELATIVE_CO_MOTION,0.5,True,False,False,0,26
S_G_HR,S,L2RAR2_REPAIR_03_840003:K7_commanded_release,L2RAR2_REPAIR_03_840003,K7_commanded_release,none,none,none,LOW_HEIGHT_CO_MOTION,0.5,True,False,False,0,26
O_B2,O,L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_03_840003,K8_acquisition_touch_then_continue,none,none,none,,1.4,False,False,,0,29
O_C3,O,L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_03_840003,K8_acquisition_touch_then_continue,none,none,none,,1.15,False,False,,0,29
S_G_H,S,L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_03_840003,K8_acquisition_touch_then_continue,none,none,none,HEIGHT_THRESHOLD,1.15,False,False,True,0,29
S_G_R,S,L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_03_840003,K8_acquisition_touch_then_continue,none,none,none,,,False,False,,0,29
S_G_HR,S,L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_03_840003,K8_acquisition_touch_then_continue,none,none,none,,,False,False,,0,29
